id,o,d,ta,ca,lane_level,road_type
524,80245572,11257849044,4.5,2000,1,primary
525,80245572,80289913,12.2,2000,1,primary
526,80245660,80283796,4.8,2000,1,secondary
527,80245660,80283796,4.8,2000,2,secondary
528,80245660,80283796,4.8,2000,3,secondary
529,80245660,80283796,4.8,2000,4,secondary
530,80245660,80283792,6.2,2000,1,secondary
531,80245660,80283792,6.2,2000,2,secondary
532,80245660,80283792,6.2,2000,3,secondary
533,80245660,80283792,6.2,2000,4,secondary
534,80245660,80245672,8.6,2000,1,residential
535,80245660,80781178,40.5,2000,1,residential
536,80245672,80245660,8.6,2000,1,residential
537,80245736,3590882398,9.6,2000,1,residential
538,80245739,10274412930,1.2,2000,1,unclassified
539,80245739,80283811,20.2,2000,1,secondary
540,80245739,80283811,20.2,2000,2,secondary
541,80245745,80221740,8.9,2000,1,residential
542,80245745,10274412931,11.7,2000,1,secondary
543,80245745,10274412931,11.7,2000,2,secondary
544,80245745,80237504,8.2,2000,1,secondary
545,80245745,80237504,8.2,2000,2,secondary
546,80246131,80214774,8.1,2000,1,residential
547,80246131,2462389188,9.7,2000,1,residential
548,80246131,2462389199,12.4,2000,1,residential
549,80246480,80281252,20.5,2000,1,residential
550,80246480,80285979,4.5,2000,1,residential
551,80246480,80214780,21.0,2000,1,residential
552,80246492,2459137346,7.6,2000,1,residential
553,80246492,80285296,17.6,2000,1,residential
554,80246492,80285979,6.2,2000,1,residential
555,80247099,80290374,28.4,2000,1,residential
556,80247271,80803019,18.1,2000,1,residential
557,80247374,80247378,3.1,2000,1,residential
558,80247378,80247374,3.1,2000,1,residential
559,80247378,80287993,8.9,2000,1,residential
560,80247378,80296232,22.4,2000,1,residential
561,80247699,80640782,66.3,2000,1,motorway
562,80247715,80278717,6.7,2000,1,residential
563,80247715,80306074,6.6,2000,1,residential
564,80247715,80247737,24.6,2000,1,residential
565,80247737,80278717,19.3,2000,1,residential
566,80247737,80247756,14.2,2000,1,residential
567,80247737,80247715,24.6,2000,1,residential
568,80247756,80247758,6.7,2000,1,residential
569,80247756,80247758,23.7,2000,1,residential
570,80247756,80247737,14.2,2000,1,residential
571,80247758,80247756,6.7,2000,1,residential
572,80247758,80247756,23.7,2000,1,residential
573,80247758,80247766,3.9,2000,1,residential
574,80247766,80247758,3.9,2000,1,residential
575,80247766,80310317,11.7,2000,1,residential
576,80247766,80278717,6.2,2000,1,residential
577,80248395,80304908,23.8,2000,1,residential
578,80248395,80282187,8.0,2000,1,residential
579,80248395,80282185,8.1,2000,1,residential
580,80248650,1350987700,48.4,2000,1,residential
581,80248650,2440985570,37.3,2000,1,residential
582,80248650,2440985570,37.3,2000,2,residential
583,80249570,80249573,5.6,2000,1,residential
584,80249570,80249583,4.1,2000,1,tertiary
585,80249570,80249583,4.1,2000,2,tertiary
586,80249570,80299589,14.9,2000,1,tertiary
587,80249570,80299589,14.9,2000,2,tertiary
588,80249573,80249570,5.6,2000,1,residential
589,80249578,80249583,9.5,2000,1,residential
590,80249583,80249578,9.5,2000,1,residential
591,80249583,80295947,4.0,2000,1,tertiary
592,80249583,80295947,4.0,2000,2,tertiary
593,80249583,80249570,4.1,2000,1,tertiary
594,80249583,80249570,4.1,2000,2,tertiary
595,80249616,80281070,11.1,2000,1,residential
596,80249616,80281370,6.6,2000,1,residential
597,80249616,7086963754,16.7,2000,1,residential
598,80254993,80240594,8.5,2000,1,residential
599,80254993,80254993,42.7,2000,1,residential
600,80254993,80254993,42.7,2000,1,residential
601,80254993,80236973,10.6,2000,1,residential
602,80255513,80268133,5.7,2000,1,residential
603,80258052,80289166,8.9,2000,1,residential
604,80258052,80258054,8.2,2000,1,residential
605,80258052,80303405,21.7,2000,1,residential
606,80258052,80277394,17.6,2000,1,residential
607,80258054,80258052,8.2,2000,1,residential
608,80258054,80293910,8.2,2000,1,residential
609,80258054,80285278,21.7,2000,1,residential
610,80258054,80277334,19.5,2000,1,residential
611,80259573,80259574,4.1,2000,1,residential
612,80259573,80287707,9.7,2000,1,residential
613,80259573,80304658,32.9,2000,1,residential
614,80259574,80259573,4.1,2000,1,residential
